status_id,created_at,screen_name,text,source,favorite_count,retweet_count
x1174751257270964225,9/19/19 18:25,JoeBiden,"South Carolina is one of only five states without a hate crime law. But this week, @SteveBenjaminSC and the Columbia City Council stood up and declared that hatred and bigotry have no place in their city. https://t.co/KGqomC7Wvn",TweetDeck,765,209
x1174732383066542084,9/19/19 17:10,JoeBiden,"Jill and I are heartbroken at the passing of Dr. Emily Clyburn. She was a remarkable woman — an activist and community leader, a true partner throughout Jim's career in public office. Jim and the entire Clyburn family are in our hearts during this time of grief. https://t.co/1DXYCSLgG1",TweetDeck,979,208
x1174688343235452930,9/19/19 14:15,JoeBiden,It’s past time we ban assault weapons and high-capacity magazines. We must get these weapons of war out of our communities. https://t.co/yTQ4SvqIAR,TweetDeck,2460,604
x1174413029120913408,9/18/19 20:01,JoeBiden,I’m more optimistic about America’s future today than I was when I was first elected to the Senate as a 29-year-old kid. There’s not a single thing we cannot do — if we do it together.,TweetDeck,3817,568
x1174372182463582208,9/18/19 17:18,JoeBiden,"We need a president who believes in science over fiction. As president, I will fight for rigorous fuel economy standards that protect our health, our environment, and our economy.",Twitter Web Client,2594,348
x1174371856528367622,9/18/19 17:17,JoeBiden,"Donald Trump continues his relentless effort to roll back the hard-fought progress we made in the Obama-Biden Administration. Higher auto emission standards make the air we all breathe cleaner, keep us healthier—and keep our auto industry competitive in the global marketplace. https://t.co/G2scIizq53",Twitter Web Client,3125,667
x1174344577865486337,9/18/19 15:29,JoeBiden,"When domestic abusers have easy access to guns, the result can be fatal. Gov. Sununu should work with the NH legislature to keep guns out of the hands of abusers. 

I wrote &amp; passed the Violence Against Women Act. I’ve taken on the NRA twice — and as president, I’ll do it again.",TweetDeck,1873,427
x1174332875115827200,9/18/19 14:42,JoeBiden,Another school year is starting. Another month of Senate Republicans’ inaction on gun violence. This powerful ad from my friends @sandyhook captures the physical and emotional consequences of that inaction. https://t.co/16jaVm4QNG,Twitter Web App,1465,441
x1174137142345371648,9/18/19 1:44,JoeBiden,"When I talk about our gun violence epidemic, I’m not only talking about the tragic mass shootings that make national news. I’m also talking about the shootings that occur every day in communities across the nation like Wilmington, Delaware.

We must take on the @NRA and end this. https://t.co/O7hq93Jdyf",Twitter Web App,1572,343
x1174123370075611137,9/18/19 0:50,JoeBiden,No one should be fired simply because of who they are or who they love. We must pass the Equality Act and ensure LGBTQ Americans are treated with the dignity and respect they deserve.,TweetDeck,5698,856
x1174117581764141056,9/18/19 0:27,JoeBiden,I can promise you that no one will work harder to earn the support of every Amtrak employee. https://t.co/H7YupBImgi,TweetDeck,1148,189
x1174108522319097857,9/17/19 23:51,JoeBiden,"America’s unions and workers are standing up and demanding better. Together, we will rebuild the great American middle class and ensure every worker receives the pay and benefits they deserve. https://t.co/WvTJAAPUq3",TweetDeck,731,215
x1174096946153185281,9/17/19 23:05,JoeBiden,"Grateful for all the support at last night’s Galivants Ferry Stump in South Carolina! It’s time we get up, come together as a nation, and lead the world once again. Because there’s not a single thing we cannot do together. https://t.co/JEoXLGXDWP",Twitter Media Studio,1167,266
x1174081091688288256,9/17/19 22:02,JoeBiden,"Our firefighters and teachers should not be paying a higher tax rate than someone making $50 million a year.

We’ve got to repeal President Trump’s tax cuts for the super-wealthy and create a tax code that works for the middle class.",TweetDeck,4845,898
x1174048879089803265,9/17/19 19:54,JoeBiden,"This afternoon, I’m joining @PhillyAFLCIO at the #Workers2020 Summit to discuss how a Biden administration will rebuild America’s middle class and strengthen the right to organize and collectively bargain. Tune in: https://t.co/9C0dDa9HZ2",TweetDeck,347,100
